# Runtime projection
field,value
stationAName,Chunghwa Telecom Yangmingshan Earth Station
stationAId,cht-yangmingshan
stationBName,SANSA Space Operations Hartebeesthoek
stationBId,sansa-hartebeesthoek
timeWindowStartUtc,2026-06-15T00:00:00.000Z
timeWindowEndUtc,2026-06-15T06:00:00.000Z
timeWindowDurationMs,21600000
sharedSupportedOrbits,LEO/MEO/GEO
sourceTier,geometric-derived
sourceEvidenceKind,cross-family-geometric
sourceBadgeLabel,Geometric pair · visibility-derived only
precisionLabel,modeled-precision

# Communication stats
metric,value
totalCommunicatingMs,21600000
handoverCount,5
meanLinkDwellMs,3600000
leoCommunicatingMs,0
meoCommunicatingMs,5160000
geoCommunicatingMs,16440000

# Visibility windows
satelliteId,orbitClass,intersectionStartUtc,intersectionEndUtc,durationMs
GSAT0102 (GALILEO-FM2),MEO,2026-06-15T00:49:26.667Z,2026-06-15T01:29:51.573Z,2424906
GSAT0232 (GALILEO 32),MEO,2026-06-15T03:08:24.474Z,2026-06-15T03:46:30.528Z,2286054
GSAT0209 (GALILEO 12),MEO,2026-06-15T05:52:46.713Z,2026-06-15T06:00:00.000Z,433287
GSAT0218 (GALILEO 22),MEO,2026-06-15T03:21:43.227Z,2026-06-15T03:28:00.757Z,377530
GSAT0205 (GALILEO 9),MEO,2026-06-15T03:24:31.627Z,2026-06-15T03:28:07.767Z,216140
ELEKTRO-L 3,GEO,2026-06-15T00:00:00.000Z,2026-06-15T06:00:00.000Z,21600000
ELEKTRO-L 5,GEO,2026-06-15T00:00:00.000Z,2026-06-15T06:00:00.000Z,21600000
APSTAR-7,GEO,2026-06-15T00:00:00.000Z,2026-06-15T06:00:00.000Z,21600000
TIANLIAN 2-01,GEO,2026-06-15T00:00:00.000Z,2026-06-15T06:00:00.000Z,21600000
BEIDOU-2 G3,GEO,2026-06-15T00:00:00.000Z,2026-06-15T06:00:00.000Z,21600000
FENGYUN 2H,GEO,2026-06-15T00:00:00.000Z,2026-06-15T06:00:00.000Z,21600000
THAICOM 6,GEO,2026-06-15T00:00:00.000Z,2026-06-15T06:00:00.000Z,21600000
THAICOM 8,GEO,2026-06-15T00:00:00.000Z,2026-06-15T06:00:00.000Z,21600000
BEIDOU-3 G2,GEO,2026-06-15T00:00:00.000Z,2026-06-15T06:00:00.000Z,21600000
IRNSS-1C,GEO,2026-06-15T00:00:00.000Z,2026-06-15T06:00:00.000Z,21600000
